shape_variant_id,version_id,shape_id,trip_headsign,is_main,note
104225,101526,N966,"Pestszentlőrinc, Mednyánszky utca",1,
104226,101527,7504,Gloriett lakótelep,0,
104227,101527,J088,Gloriett lakótelep,1,
104228,101528,J089,Határ út M,1,
104229,101529,U218,Békásmegyer H,0,
104230,101529,U220,Békásmegyer H,1,
104231,101530,S071,Újpest-Központ M,0,
104232,101530,U219,"Rákospalota, Kossuth utca",1,
104233,101530,U221,"Rákospalota, Kossuth utca",0,
104234,101530,U230,"Rákospalota, Kossuth utca",0,
104235,101531,I368,Kocsis Sándor út,0,
104236,101531,G394,Kocsis Sándor út,1,
104237,101532,I369,Batthyány tér M+H,0,
104238,101532,G395,Batthyány tér M+H,1,
104239,101533,M095,Erzsébet körút,0,
104240,101533,S248,Erzsébet körút,1,
104241,101533,S249,"Rákoskeresztúr, vkp. (városhatár felé)",0,
104242,101534,M099,"Rákoskeresztúr, vkp. (metró felé)",0,
104243,101534,S297,Kőbánya alsó vasútállomás,1,
104244,101534,T872,Kőbánya alsó vasútállomás,0,
104245,101535,G201,Ferihegy vasútállomás,1,
104246,101536,L864,"Pestszentlőrinc, Mednyánszky utca",0,
104247,101536,M777,Pestszentimre vasútállomás (Vasút utca),1,
104248,101537,V047,"Zugliget, Libegő",1,
104249,101538,S534,Budagyöngye,0,
104250,101538,V048,Nyugati pályaudvar M,1,
104251,101539,J413,Száva kocsiszín,0,
104252,101539,V360,Nagykőrösi út/Határ út,0,
104253,101539,5911,Örs vezér tere - Kőbánya M,0,
104254,101539,B099,Gubacsi út,1,
104255,101539,B180,Gubacsi út,0,
104256,101539,J407,Nagykőrösi út/Határ út,0,
104257,101539,L187,Gubacsi út,0,
104258,101539,L967,Zugló kocsiszín,0,
104259,101539,N958,Gubacsi út,0,
104260,101540,5568,Száva kocsiszín,0,
104261,101540,5572,Zugló kocsiszín,0,
104262,101540,B098,Mexikói út M,1,
104263,101540,J396,Mexikói út M,0,
104264,101540,L188,Mexikói út M,0,
104265,101541,K873,Izraelita temető,1,
104266,101542,K874,Blaha Lujza tér M,1,
104267,101542,L141,Blaha Lujza tér M,0,
