service_id,date,exception_type
C73553AVVSzN-101,20250525,1
C73562K1PPSzN-081,20250517,1
C74080AHPWA-0031,20250517,1
C74080AHPWA-0031,20250519,1
C74080AHPWA-0031,20250520,1
C74080AHPWA-0031,20250521,1
C74080AHPWA-0031,20250522,1
C74080AHPWA-0031,20250523,1
C74080AHPWA-0031,20250526,1
C74080AHPWA-0031,20250527,1
C74080AHPWA-0031,20250528,1
C74080AHPWA-0031,20250529,1
C74080AHPWA-0031,20250530,1
C74080AHPWA-0031,20250602,1
C74080AHPWA-0031,20250603,1
C74080AHPWA-0031,20250604,1
C74080AHPWA-0031,20250605,1
C74080AHPWA-0031,20250606,1
C74080AHPWA-0031,20250610,1
C74080AHPWA-0031,20250611,1
C74080AHPWA-0031,20250612,1
C74080AHPWA-0031,20250613,1
C74080AHPWA-0031,20250616,1
C74080AHPWA-0031,20250617,1
C74080AHPWA-0031,20250618,1
C74080AHPWA-0031,20250619,1
C74080AHPWA-0031,20250620,1
C74080AHPWA-0031,20250623,1
C74080AHPWA-0031,20250624,1
C74080AHPWA-0031,20250625,1
C74080AHPWA-0031,20250626,1
C74080AHPWA-0031,20250627,1
C74080AHPWA-0031,20250630,1
C74080AHPWA-0031,20250701,1
C74081ASVWA-0031,20250518,1
C74081ASVWA-0031,20250524,1
C74081ASVWA-0031,20250525,1
C74081ASVWA-0031,20250531,1
C74081ASVWA-0031,20250601,1
C74081ASVWA-0031,20250607,1
C74081ASVWA-0031,20250608,1
C74081ASVWA-0031,20250609,1
C74081ASVWA-0031,20250614,1
C74081ASVWA-0031,20250615,1
C74081ASVWA-0031,20250621,1
C74081ASVWA-0031,20250622,1
C74081ASVWA-0031,20250628,1
C74081ASVWA-0031,20250629,1
C74100AHCWA-0041,20250519,1
C74100AHCWA-0041,20250520,1
C74100AHCWA-0041,20250521,1
C74100AHCWA-0041,20250522,1
C74100AHCWA-0041,20250526,1
C74100AHCWA-0041,20250527,1
C74100AHCWA-0041,20250528,1
C74100AHCWA-0041,20250529,1
C74100AHCWA-0041,20250602,1
C74100AHCWA-0041,20250603,1
C74100AHCWA-0041,20250604,1
C74100AHCWA-0041,20250605,1
C74100AHCWA-0041,20250610,1
C74100AHCWA-0041,20250611,1
C74100AHCWA-0041,20250612,1
C74100AHCWA-0041,20250616,1
C74100AHCWA-0041,20250617,1
C74100AHCWA-0041,20250618,1
C74100AHCWA-0041,20250619,1
C74101APPWA-0041,20250523,1
C74101APPWA-0041,20250530,1
C74101APPWA-0041,20250606,1
C74101APPWA-0041,20250613,1
C74101APPWA-0041,20250620,1
C74104ASZWA-0041,20250524,1
C74104ASZWA-0041,20250531,1
C74104ASZWA-0041,20250607,1
C74104ASZWA-0041,20250614,1
C74104ASZWA-0041,20250621,1
C74104ASZWA-0041,20250628,1
C74105AVVWA-0041,20250518,1
C74105AVVWA-0041,20250525,1
C74105AVVWA-0041,20250601,1
C74105AVVWA-0041,20250608,1
C74105AVVWA-0041,20250609,1
C74105AVVWA-0041,20250615,1
C74105AVVWA-0041,20250622,1
C74105AVVWA-0041,20250629,1
C74113K1HCWA-0041,20250623,1
C74113K1HCWA-0041,20250624,1
C74113K1HCWA-0041,20250625,1
C74113K1HCWA-0041,20250626,1
C74113K1HCWA-0041,20250630,1
C74113K1HCWA-0041,20250701,1
C74114K1PPWA-0041,20250517,1
C74114K1PPWA-0041,20250627,1
C74970AHPYM-0021,20250519,1
C74970AHPYM-0021,20250520,1
C74970AHPYM-0021,20250521,1
C74970AHPYM-0021,20250522,1
C74970AHPYM-0021,20250523,1
C74970AHPYM-0021,20250526,1
C74970AHPYM-0021,20250527,1
C74970AHPYM-0021,20250528,1
C74970AHPYM-0021,20250529,1
C74970AHPYM-0021,20250530,1
C74970AHPYM-0021,20250602,1
C74970AHPYM-0021,20250603,1
C74970AHPYM-0021,20250604,1
C74970AHPYM-0021,20250605,1
C74970AHPYM-0021,20250606,1
C74970AHPYM-0021,20250610,1
C74970AHPYM-0021,20250611,1
C74970AHPYM-0021,20250612,1
C74970AHPYM-0021,20250613,1
C74970AHPYM-0021,20250616,1
C74970AHPYM-0021,20250617,1
C74970AHPYM-0021,20250618,1
C74970AHPYM-0021,20250619,1
C74970AHPYM-0021,20250620,1
C74970AVCYM-0021,20250518,1
C74970AVCYM-0021,20250519,1
C74970AVCYM-0021,20250520,1
C74970AVCYM-0021,20250521,1
C74970AVCYM-0021,20250522,1
C74970AVCYM-0021,20250525,1
C74970AVCYM-0021,20250526,1
C74970AVCYM-0021,20250527,1
C74970AVCYM-0021,20250528,1
C74970AVCYM-0021,20250529,1
C74970AVCYM-0021,20250601,1
C74970AVCYM-0021,20250602,1
C74970AVCYM-0021,20250603,1
C74970AVCYM-0021,20250604,1
C74970AVCYM-0021,20250605,1
C74970AVCYM-0021,20250609,1
C74970AVCYM-0021,20250610,1
C74970AVCYM-0021,20250611,1
C74970AVCYM-0021,20250612,1
C74970AVCYM-0021,20250615,1
C74970AVCYM-0021,20250616,1
C74970AVCYM-0021,20250617,1
C74970AVCYM-0021,20250618,1
C74970AVCYM-0021,20250619,1
C74977K1HPYM-0021,20250623,1
C74977K1HPYM-0021,20250624,1
C74977K1HPYM-0021,20250625,1
C74977K1HPYM-0021,20250626,1
C74977K1HPYM-0021,20250627,1
C74977K1HPYM-0021,20250630,1
C74977K1HPYM-0021,20250701,1
C74977K1VCYM-0021,20250622,1
